date,window_id,window_start,window_end,n_days,n_assets,corr_num_edges,corr_avg_degree,corr_density,corr_total_weight,corr_avg_weight
2011-10-17,199,2010-10-19,2011-10-17,252,151,1558,20.635761589403973,0.13757174392935984,2088.9897552531093,0.670407495267365
2011-10-18,200,2010-10-20,2011-10-18,252,151,1558,20.635761589403973,0.13757174392935984,2096.735276934216,0.6728932210957047
2011-10-19,201,2010-10-21,2011-10-19,252,151,1559,20.649006622516556,0.13766004415011038,2097.1524418939825,0.6725953950910785
2011-10-20,202,2010-10-22,2011-10-20,252,151,1560,20.662251655629138,0.13774834437086092,2097.1177981876117,0.6721531404447474
2011-10-21,203,2010-10-25,2011-10-21,252,151,1562,20.688741721854306,0.13792494481236203,2104.962292381549,0.6738035506983192
2011-10-24,204,2010-10-26,2011-10-24,252,151,1560,20.662251655629138,0.13774834437086092,2106.9001503178397,0.6752885097172563
2011-10-25,205,2010-10-27,2011-10-25,252,151,1562,20.688741721854306,0.13792494481236203,2108.134082705553,0.674818848497296
2011-10-26,206,2010-10-28,2011-10-26,252,151,1562,20.688741721854306,0.13792494481236203,2110.2850385963275,0.6755073747107322
2011-10-27,207,2010-10-29,2011-10-27,252,151,1561,20.67549668874172,0.1378366445916115,2127.3978312866466,0.6814214706235255
2011-10-28,208,2010-11-01,2011-10-28,252,151,1561,20.67549668874172,0.1378366445916115,2125.696014528013,0.6808763659602861
2011-10-31,209,2010-11-02,2011-10-31,252,151,1561,20.67549668874172,0.1378366445916115,2132.519507267774,0.6830619818282427
2011-11-01,210,2010-11-03,2011-11-01,252,151,1561,20.67549668874172,0.1378366445916115,2145.332585218923,0.6871661067325187
2011-11-02,211,2010-11-04,2011-11-02,252,151,1561,20.67549668874172,0.1378366445916115,2151.4762175539645,0.6891339582171571
2011-11-03,212,2010-11-05,2011-11-03,252,151,1562,20.688741721854306,0.13792494481236203,2148.708217565276,0.6878067277737758
