label_name,label_readable,model_name,model_readable,probe,probe_readable,corr_probe_vs_p_hat
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_diff_gamma,Correlation graph: Diff Gamma,-0.5064765001203123
y_dd_h20_thr3,"Drawdown event (drawdown threshold = 3%), prediction horizon = 20 days",logit_full,Logistic Regression (Baseline + Ricci curvature),corr_ct_q10,Correlation graph: Ct Q10,-0.588192203300736
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_median,Correlation graph: Mean First Passage Time Median,0.7739024436326724
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_tmix_proxy,Correlation graph: Diff Tmix Proxy,0.6709798963245203
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_mean,Correlation graph: Ct Mean,0.6617417282785135
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_mean,Correlation graph: Mean First Passage Time Mean,0.6617417282785135
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_q90,Correlation graph: Ct Q90,0.6441949892182378
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_pi_min,Correlation graph: Diff Pi Min,0.5862178252262857
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_mfpt_q90,Correlation graph: Mean First Passage Time Q90,0.5808377801354249
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_ct_median,Correlation graph: Ct Median,0.47869135375730726
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),corr_diff_lambda2,Correlation graph: Diff Lambda2,0.46461774177025295
y_dd_h20_thr5,"Drawdown event (drawdown threshold = 5%), prediction horizon = 20 days",rf_full,Random Forest (Baseline + Ricci curvature),prec_diff_lambda2,Precision graph: Diff Lambda2,0.38291115601720094
